"country","type","total"
"Armenia","lower_respiratory_infections_deaths",500.864066897178
"Armenia","protein_energy_malnutrition_deaths",1.2685096096749
"Armenia","cardiovascular_diseases_deaths",13631.1498593611
"Armenia","dementia_deaths",1357.24665845752
"Armenia","kidney_disease_deaths",429.616729189155
"Armenia","respiratory_diseases_deaths",1310.62847632355
"Armenia","liver_diseases_deaths",1107.31991196511
"Armenia","digestive_diseases_deaths",1719.8540383724
"Armenia","hepatitis_deaths",5.79155003574365
"Armenia","cancers_deaths",5755.61625926332
"Armenia","parkinson_disease_deaths",179.975114563571
"Armenia","malaria_deaths",0
"Armenia","hiv_aids_deaths",23.728821743764
"Armenia","tuberculosis_deaths",76.6046995563271
"Armenia","diarrheal_diseases_deaths",13.2103632389916
"Armenia","nutritional_deficiencies_deaths",3.53042953008964
"Armenia","diabetes_deaths",1142.02009801715
"Australasia","meningitis_deaths",70.9837205622073
"Australasia","lower_respiratory_infections_deaths",5179.11572940391
"Australasia","protein_energy_malnutrition_deaths",102.226063821377
"Australasia","cardiovascular_diseases_deaths",62998.4750696847
"Australasia","dementia_deaths",20093.751637944
"Australasia","kidney_disease_deaths",5228.03357778482
"Australasia","respiratory_diseases_deaths",12965.2396695618
"Australasia","liver_diseases_deaths",2478.89089658188
"Australasia","digestive_diseases_deaths",7111.39340610291
"Australasia","hepatitis_deaths",111.295432191421
"Australasia","cancers_deaths",60092.13655546
"Australasia","parkinson_disease_deaths",2705.16169361119
"Australasia","malaria_deaths",0
"Australasia","hiv_aids_deaths",86.559359407549
"Australasia","tuberculosis_deaths",106.646909980148
"Australasia","diarrheal_diseases_deaths",258.261346919471
"Australasia","nutritional_deficiencies_deaths",131.510621117554
"Australasia","diabetes_deaths",4310.65164056981
"Australia","meningitis_deaths",56.7984867872573
"Australia","lower_respiratory_infections_deaths",4451.1778152109
"Australia","protein_energy_malnutrition_deaths",95.2054633545743
"Australia","cardiovascular_diseases_deaths",52100.5552101588
"Australia","dementia_deaths",17118.8926520814
"Australia","kidney_disease_deaths",4455.43941425355
"Australia","respiratory_diseases_deaths",10821.9609639091
"Australia","liver_diseases_deaths",2186.75220952874
"Australia","digestive_diseases_deaths",6111.53937256529
"Australia","hepatitis_deaths",108.05166838723
"Australia","cancers_deaths",50254.0753469073
"Australia","parkinson_disease_deaths",2328.23902235032
"Australia","malaria_deaths",0
"Australia","hiv_aids_deaths",76.5799211450502
"Australia","tuberculosis_deaths",88.6593352961973
"Australia","diarrheal_diseases_deaths",187.523686242574
"Australia","nutritional_deficiencies_deaths",121.43471569365
"Australia","diabetes_deaths",3755.06665348457
"Austria","meningitis_deaths",32.3329760889849
"Austria","lower_respiratory_infections_deaths",961.065934606081
"Austria","protein_energy_malnutrition_deaths",1.50660703857151
"Austria","cardiovascular_diseases_deaths",31386.1399313522
"Austria","dementia_deaths",7480.67890045953
"Austria","kidney_disease_deaths",2753.50745295953
"Austria","respiratory_diseases_deaths",3383.09344687393
"Austria","liver_diseases_deaths",1860.12911696809
"Austria","digestive_diseases_deaths",3227.18063713144
"Austria","hepatitis_deaths",5.64005293471167
"Austria","cancers_deaths",21744.6722049686
"Austria","parkinson_disease_deaths",994.229958445428
"Austria","malaria_deaths",0
"Austria","hiv_aids_deaths",37.968913898917
"Austria","tuberculosis_deaths",51.2593900298146
"Austria","diarrheal_diseases_deaths",98.1175409633708
"Austria","nutritional_deficiencies_deaths",8.68796754602232
"Austria","diabetes_deaths",2059.22512960314
"Azerbaijan","meningitis_deaths",100.637664596672
"Azerbaijan","lower_respiratory_infections_deaths",3054.88314345031
"Azerbaijan","protein_energy_malnutrition_deaths",28.5389383976543
"Azerbaijan","cardiovascular_diseases_deaths",40266.146464116
"Azerbaijan","dementia_deaths",2481.94694065648
"Azerbaijan","kidney_disease_deaths",1169.18853822946
"Azerbaijan","respiratory_diseases_deaths",2339.51052503235
"Azerbaijan","liver_diseases_deaths",3140.7578426717
"Azerbaijan","digestive_diseases_deaths",3940.29221093397
"Azerbaijan","hepatitis_deaths",50.011157253003
"Azerbaijan","cancers_deaths",10953.7014051401
"Azerbaijan","parkinson_disease_deaths",359.280256036183
"Azerbaijan","malaria_deaths",0
"Azerbaijan","hiv_aids_deaths",31.5164108033835
"Azerbaijan","tuberculosis_deaths",690.829969175734
"Azerbaijan","diarrheal_diseases_deaths",192.45628873656
"Azerbaijan","nutritional_deficiencies_deaths",38.0939129249981
"Azerbaijan","diabetes_deaths",1751.59920667453
"Bahamas","meningitis_deaths",4.09230944254343
"Bahamas","lower_respiratory_infections_deaths",104.921120929185
"Bahamas","protein_energy_malnutrition_deaths",2.98604893562789
"Bahamas","cardiovascular_diseases_deaths",800.566590401213
"Bahamas","dementia_deaths",92.4764484997622
"Bahamas","kidney_disease_deaths",92.727844115592
"Bahamas","respiratory_diseases_deaths",52.0280240418813
"Bahamas","liver_diseases_deaths",53.7176594861417
"Bahamas","digestive_diseases_deaths",103.619265069983
"Bahamas","hepatitis_deaths",0.994581454472999
"Bahamas","cancers_deaths",529.974615342658
"Bahamas","parkinson_disease_deaths",16.0248684219944
"Bahamas","malaria_deaths",0
"Bahamas","hiv_aids_deaths",114.231584647444
"Bahamas","tuberculosis_deaths",7.4034749014473
"Bahamas","diarrheal_diseases_deaths",3.80744440505815
"Bahamas","nutritional_deficiencies_deaths",4.14043142853977
"Bahamas","diabetes_deaths",127.56196235792
"Bahrain","meningitis_deaths",3.61030014694374
"Bahrain","lower_respiratory_infections_deaths",95.0637496461024
"Bahrain","protein_energy_malnutrition_deaths",2.62057838602918
"Bahrain","cardiovascular_diseases_deaths",961.379058769535
"Bahrain","dementia_deaths",109.681793122256
"Bahrain","kidney_disease_deaths",133.014209009362
"Bahrain","respiratory_diseases_deaths",113.88231705839
"Bahrain","liver_diseases_deaths",84.4338670103467
"Bahrain","digestive_diseases_deaths",142.514400903892
"Bahrain","hepatitis_deaths",4.69425347926546
"Bahrain","cancers_deaths",552.633474469581
"Bahrain","parkinson_disease_deaths",16.7246088158396
"Bahrain","malaria_deaths",0
"Bahrain","hiv_aids_deaths",11.527189333754
"Bahrain","tuberculosis_deaths",9.03020904940034
"Bahrain","diarrheal_diseases_deaths",9.06304842022439
"Bahrain","nutritional_deficiencies_deaths",3.04342420672151
"Bahrain","diabetes_deaths",528.816302116928
"Bangladesh","meningitis_deaths",1340.18293795016
"Bangladesh","lower_respiratory_infections_deaths",38521.3230714657
"Bangladesh","protein_energy_malnutrition_deaths",3972.55240832475
"Bangladesh","cardiovascular_diseases_deaths",320562.582289193
"Bangladesh","dementia_deaths",17256.2158359559
"Bangladesh","kidney_disease_deaths",16783.3331359644
"Bangladesh","respiratory_diseases_deaths",82276.0737842777
"Bangladesh","liver_diseases_deaths",26389.9336938555
"Bangladesh","digestive_diseases_deaths",44992.496714242
"Bangladesh","hepatitis_deaths",3196.76139632549
"Bangladesh","cancers_deaths",99301.6598860653
"Bangladesh","parkinson_disease_deaths",3387.81239508464
"Bangladesh","malaria_deaths",3274.37822160193
"Bangladesh","hiv_aids_deaths",627.040859340994
"Bangladesh","tuberculosis_deaths",13161.6667505455
"Bangladesh","diarrheal_diseases_deaths",30146.9247649841
"Bangladesh","nutritional_deficiencies_deaths",4961.69180521457
"Bangladesh","diabetes_deaths",34563.7255199647
"Barbados","meningitis_deaths",3.81487877607168
"Barbados","lower_respiratory_infections_deaths",182.965449437898
"Barbados","protein_energy_malnutrition_deaths",4.61666370808969
"Barbados","cardiovascular_diseases_deaths",840.447331059175
"Barbados","dementia_deaths",170.827999026231
"Barbados","kidney_disease_deaths",89.5566606475547
"Barbados","respiratory_diseases_deaths",63.1849135500285
"Barbados","liver_diseases_deaths",38.6943650608286
"Barbados","digestive_diseases_deaths",93.8633115929186
"Barbados","hepatitis_deaths",1.14306532969228
"Barbados","cancers_deaths",677.357799611973
"Barbados","parkinson_disease_deaths",24.8991015173298
"Barbados","malaria_deaths",0
"Barbados","hiv_aids_deaths",24.9798319147955
"Barbados","tuberculosis_deaths",1.7089822768766
"Barbados","diarrheal_diseases_deaths",4.04406848022594
"Barbados","nutritional_deficiencies_deaths",6.05816322385925
"Barbados","diabetes_deaths",242.154580899177
"Belarus","meningitis_deaths",51.0433504251158
"Belarus","lower_respiratory_infections_deaths",1174.54770554298
"Belarus","protein_energy_malnutrition_deaths",13.4633002121133
"Belarus","cardiovascular_diseases_deaths",73014.2398907201
"Belarus","dementia_deaths",6549.90087442503
"Belarus","kidney_disease_deaths",485.319693923818
"Belarus","respiratory_diseases_deaths",2064.89689424019
"Belarus","liver_diseases_deaths",2533.23348653378
"Belarus","digestive_diseases_deaths",4498.17204985501
"Belarus","hepatitis_deaths",21.2818487265693
"Belarus","cancers_deaths",18557.9417087217
"Belarus","parkinson_disease_deaths",698.832437950329
"Belarus","malaria_deaths",0
"Belarus","hiv_aids_deaths",303.909018989598
"Belarus","tuberculosis_deaths",344.709790184764
"Belarus","diarrheal_diseases_deaths",13.861251499618
"Belarus","nutritional_deficiencies_deaths",45.3126345720052
"Belarus","diabetes_deaths",357.521186134111
"Belgium","meningitis_deaths",47.6216031405821
"Belgium","lower_respiratory_infections_deaths",5669.18226918948
"Belgium","protein_energy_malnutrition_deaths",207.441890309519
"Belgium","cardiovascular_diseases_deaths",32194.2164159668
"Belgium","dementia_deaths",10550.3321205772
"Belgium","kidney_disease_deaths",2096.7541683822
"Belgium","respiratory_diseases_deaths",6804.2518437449
"Belgium","liver_diseases_deaths",2004.39868637608
"Belgium","digestive_diseases_deaths",5111.1621884794
"Belgium","hepatitis_deaths",38.9361990971575
"Belgium","cancers_deaths",30781.9584297415
"Belgium","parkinson_disease_deaths",1228.37360374839
"Belgium","malaria_deaths",0
"Belgium","hiv_aids_deaths",61.885557728237
"Belgium","tuberculosis_deaths",90.1659126629163
"Belgium","diarrheal_diseases_deaths",697.427857473748
"Belgium","nutritional_deficiencies_deaths",269.552798835949
"Belgium","diabetes_deaths",1436.39606070022
"Belize","meningitis_deaths",3.06991282923395
"Belize","lower_respiratory_infections_deaths",110.51877448026
"Belize","protein_energy_malnutrition_deaths",9.97993804634095
"Belize","cardiovascular_diseases_deaths",424.247642450559
"Belize","dementia_deaths",64.9972597556225
"Belize","kidney_disease_deaths",84.4991807818893
"Belize","respiratory_diseases_deaths",68.6394764355918
"Belize","liver_diseases_deaths",57.1675741662816
"Belize","digestive_diseases_deaths",92.1299863136918
"Belize","hepatitis_deaths",1.10230090760944
"Belize","cancers_deaths",276.743865035832
"Belize","parkinson_disease_deaths",11.0266403745865
"Belize","malaria_deaths",0.231766540343924
"Belize","hiv_aids_deaths",81.153771527789
"Belize","tuberculosis_deaths",13.5371298989587
"Belize","diarrheal_diseases_deaths",11.4305214692648
"Belize","nutritional_deficiencies_deaths",11.1689132725474
"Belize","diabetes_deaths",125.547264707426
"Benin","meningitis_deaths",1716.1503787971
"Benin","lower_respiratory_infections_deaths",7564.60538381737
"Benin","protein_energy_malnutrition_deaths",1321.51031086627
"Benin","cardiovascular_diseases_deaths",9221.48666447549
"Benin","dementia_deaths",1160.26609877657
"Benin","kidney_disease_deaths",1291.57924892641
"Benin","respiratory_diseases_deaths",1982.73151988893
"Benin","liver_diseases_deaths",1269.49983529199
"Benin","digestive_diseases_deaths",2629.04430605862
"Benin","hepatitis_deaths",201.097752905568
"Benin","cancers_deaths",5433.53604014677
"Benin","parkinson_disease_deaths",183.919085431927
"Benin","malaria_deaths",9432.99054940241
"Benin","hiv_aids_deaths",1809.78544519346
"Benin","tuberculosis_deaths",2889.75984755832
"Benin","diarrheal_diseases_deaths",6383.25212225584
"Benin","nutritional_deficiencies_deaths",1375.01080413819
"Benin","diabetes_deaths",1216.13993888665
"Bermuda","meningitis_deaths",0.317070162725992
"Bermuda","lower_respiratory_infections_deaths",16.7433292078156
"Bermuda","protein_energy_malnutrition_deaths",0.242415197569296
"Bermuda","cardiovascular_diseases_deaths",184.523949017953
"Bermuda","dementia_deaths",41.5242708795403
"Bermuda","kidney_disease_deaths",16.2715700483115
"Bermuda","respiratory_diseases_deaths",15.9000779473023
"Bermuda","liver_diseases_deaths",6.98558898576827
"Bermuda","digestive_diseases_deaths",17.2241950052193
"Bermuda","hepatitis_deaths",0.0306981188712015
"Bermuda","cancers_deaths",157.741201519303
"Bermuda","parkinson_disease_deaths",6.02810152355285
"Bermuda","malaria_deaths",0
"Bermuda","hiv_aids_deaths",6.84735534447578
"Bermuda","tuberculosis_deaths",0.0787086478182726
"Bermuda","diarrheal_diseases_deaths",0.421477640024937
"Bermuda","nutritional_deficiencies_deaths",0.342761150389384
"Bermuda","diabetes_deaths",20.2808009608665
"Bhutan","meningitis_deaths",19.5436981097861
"Bhutan","lower_respiratory_infections_deaths",179.731062543115
"Bhutan","protein_energy_malnutrition_deaths",4.95643833767131
"Bhutan","cardiovascular_diseases_deaths",1156.4943438225
"Bhutan","dementia_deaths",124.771978797898
"Bhutan","kidney_disease_deaths",135.942756579743
"Bhutan","respiratory_diseases_deaths",446.303885176567
"Bhutan","liver_diseases_deaths",156.900945940582
"Bhutan","digestive_diseases_deaths",254.840933657915
"Bhutan","hepatitis_deaths",20.1574193700364
"Bhutan","cancers_deaths",488.275625013194
"Bhutan","parkinson_disease_deaths",21.7340935010555
"Bhutan","malaria_deaths",18.2835524934181
"Bhutan","hiv_aids_deaths",81.3397488408482
"Bhutan","tuberculosis_deaths",65.2600902157403
"Bhutan","diarrheal_diseases_deaths",132.467026991648
"Bhutan","nutritional_deficiencies_deaths",8.60022146049906
"Bhutan","diabetes_deaths",120.66778589079
"Bolivia","meningitis_deaths",167.999840960389
"Bolivia","lower_respiratory_infections_deaths",5359.62064476499
"Bolivia","protein_energy_malnutrition_deaths",568.798867116618
"Bolivia","cardiovascular_diseases_deaths",15274.8406788413
"Bolivia","dementia_deaths",2650.84651310574
"Bolivia","kidney_disease_deaths",3165.19065616426
"Bolivia","respiratory_diseases_deaths",3121.97276569285
"Bolivia","liver_diseases_deaths",2215.41475655879
"Bolivia","digestive_diseases_deaths",4077.54261886597
"Bolivia","hepatitis_deaths",55.1551631670208
"Bolivia","cancers_deaths",12195.4034108235
"Bolivia","parkinson_disease_deaths",478.117316717961
"Bolivia","malaria_deaths",5.03397705309449
"Bolivia","hiv_aids_deaths",1167.19361405071
"Bolivia","tuberculosis_deaths",1145.35780855766
"Bolivia","diarrheal_diseases_deaths",555.97813512041
"Bolivia","nutritional_deficiencies_deaths",641.493278717775
"Bolivia","diabetes_deaths",2902.73993606889
"Bosnia and Herzegovina","meningitis_deaths",11.7380163692846
"Bosnia and Herzegovina","lower_respiratory_infections_deaths",359.594792064322
"Bosnia and Herzegovina","protein_energy_malnutrition_deaths",2.02911571292375
"Bosnia and Herzegovina","cardiovascular_diseases_deaths",18107.3186868144
"Bosnia and Herzegovina","dementia_deaths",1990.59213942566
"Bosnia and Herzegovina","kidney_disease_deaths",604.361435687856
"Bosnia and Herzegovina","respiratory_diseases_deaths",1310.16414682388
"Bosnia and Herzegovina","liver_diseases_deaths",577.392798632121
"Bosnia and Herzegovina","digestive_diseases_deaths",1135.88760378477
"Bosnia and Herzegovina","hepatitis_deaths",6.56594156021172
"Bosnia and Herzegovina","cancers_deaths",8950.33605955223
"Bosnia and Herzegovina","parkinson_disease_deaths",324.063116287323
"Bosnia and Herzegovina","malaria_deaths",0
"Bosnia and Herzegovina","hiv_aids_deaths",1.53589040511932
"Bosnia and Herzegovina","tuberculosis_deaths",134.652918263332
"Bosnia and Herzegovina","diarrheal_diseases_deaths",8.64787957553829
"Bosnia and Herzegovina","nutritional_deficiencies_deaths",6.12028302931794
"Bosnia and Herzegovina","diabetes_deaths",2293.10133851573
"Botswana","meningitis_deaths",71.1447057813798
"Botswana","lower_respiratory_infections_deaths",767.699835512362
"Botswana","protein_energy_malnutrition_deaths",78.0879802431323
"Botswana","cardiovascular_diseases_deaths",2547.83364576611
"Botswana","dementia_deaths",323.06513383176
"Botswana","kidney_disease_deaths",264.159264533047
"Botswana","respiratory_diseases_deaths",509.638583948689
"Botswana","liver_diseases_deaths",187.430136308155
"Botswana","digestive_diseases_deaths",437.833076088603
"Botswana","hepatitis_deaths",7.78205537330005
"Botswana","cancers_deaths",1486.81909717379
"Botswana","parkinson_disease_deaths",35.5082390475128
"Botswana","malaria_deaths",5.63766535928202
"Botswana","hiv_aids_deaths",4101.61901643262
"Botswana","tuberculosis_deaths",444.479782873811
"Botswana","diarrheal_diseases_deaths",576.903096921311
"Botswana","nutritional_deficiencies_deaths",80.8307519580435
"Botswana","diabetes_deaths",668.337269695334
"Brazil","meningitis_deaths",2410.87372318485
"Brazil","lower_respiratory_infections_deaths",84073.1619140841
"Brazil","protein_energy_malnutrition_deaths",6577.683781221
"Brazil","cardiovascular_diseases_deaths",388268.089921711
"Brazil","dementia_deaths",73418.9696612148
"Brazil","kidney_disease_deaths",35350.1165111474
"Brazil","respiratory_diseases_deaths",72745.6788007105
"Brazil","liver_diseases_deaths",36269.3383726588
"Brazil","digestive_diseases_deaths",72555.8919357154
